[     106ms] [WARNING] WebSocket connection to 'ws://localhost:5173/ws/progress' failed: WebSocket is closed before the connection is established. @ http://localhost:5173/src/hooks/useWebSocket.ts:18
[   10332ms] [ERROR] Cannot update a component (`%s`) while rendering a different component (`%s`). To locate the bad setState() call inside `%s`, follow the stack trace as described in https://react.dev/link/setstate-in-render ToastContainer App App @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:11683
[   11998ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12001ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12044ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12103ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12159ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12243ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12350ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12368ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12372ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12375ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12385ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12387ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12391ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12393ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12401ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12426ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12533ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12535ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12538ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12546ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12549ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12553ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12559ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12593ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   12946ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   13113ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719041120 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   16247ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719047031 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   79689ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719110473 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
[   80539ms] [ERROR] Encountered two children with the same key, `%s`. Keys should be unique so that components maintain their identity across updates. Non-unique keys may cause children to be duplicated and/or omitted — the behavior is unsupported and could change in a future version. 1772719110473 @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=29037919:4922
